id,user_id,title,raw_input,summary,category,priority,status,deadline,keywords,scheduled_date,duration,overdue_notified_at,created_at,updated_at,created_at_dt,updated_at_dt,created_date,completed_date,weekday,week,cycle_phase
11,usr_sharvibhavsar12,Draft functional specifications document,Draft functional specifications document,,work,medium,completed,,[],2026-07-30,30,,2026-07-31 06:21:30.760000+00:00,2026-08-11 05:58:09.012000+00:00,2026-07-31 06:21:30.760000+00:00,2026-08-11 05:58:09.012000+00:00,2026-07-31,2026-08-11,Friday,2026-07-27/2026-08-02,Menstrual
12,usr_sharvibhavsar12,Configure Express backend routes for Auth,Configure Express backend routes for Auth,,work,high,completed,,[],2026-07-30,30,,2026-07-31 06:21:30.760000+00:00,2026-08-11 05:58:09.013000+00:00,2026-07-31 06:21:30.760000+00:00,2026-08-11 05:58:09.013000+00:00,2026-07-31,2026-08-11,Friday,2026-07-27/2026-08-02,Menstrual
13,usr_sharvibhavsar12,Set up Drizzle ORM schema models,Set up Drizzle ORM schema models,,work,high,completed,,[],2026-07-30,30,,2026-07-31 06:21:30.760000+00:00,2026-08-11 05:58:09.014000+00:00,2026-07-31 06:21:30.760000+00:00,2026-08-11 05:58:09.014000+00:00,2026-07-31,2026-08-11,Friday,2026-07-27/2026-08-02,Menstrual
14,usr_sharvibhavsar12,Build custom NLP Compromise parsing module,Build custom NLP Compromise parsing module,,work,medium,completed,,[],2026-07-30,30,,2026-07-31 06:21:30.760000+00:00,2026-08-11 05:58:09.015000+00:00,2026-07-31 06:21:30.760000+00:00,2026-08-11 05:58:09.015000+00:00,2026-07-31,2026-08-11,Friday,2026-07-27/2026-08-02,Menstrual
15,usr_sharvibhavsar12,Integrate Chrono-node for temporal deadlines,Integrate Chrono-node for temporal deadlines,,work,medium,completed,,[],2026-07-30,30,,2026-07-31 06:21:30.760000+00:00,2026-08-11 05:58:09.016000+00:00,2026-07-31 06:21:30.760000+00:00,2026-08-11 05:58:09.016000+00:00,2026-07-31,2026-08-11,Friday,2026-07-27/2026-08-02,Menstrual
16,usr_sharvibhavsar12,Create React calendar UI with date-fns grid,Create React calendar UI with date-fns grid,,personal,low,completed,,[],2026-07-30,30,,2026-07-31 06:21:30.760000+00:00,2026-08-11 05:58:09.017000+00:00,2026-07-31 06:21:30.760000+00:00,2026-08-11 05:58:09.017000+00:00,2026-07-31,2026-08-11,Friday,2026-07-27/2026-08-02,Menstrual
17,usr_sharvibhavsar12,Verify theme configuration colors and tokens,Verify theme configuration colors and tokens,,personal,low,completed,,[],2026-07-30,30,,2026-07-31 06:21:30.760000+00:00,2026-08-11 05:58:09.017000+00:00,2026-07-31 06:21:30.760000+00:00,2026-08-11 05:58:09.017000+00:00,2026-07-31,2026-08-11,Friday,2026-07-27/2026-08-02,Menstrual
18,usr_sharvibhavsar12,Submit project status report,Submit project status report,,work,high,pending,2026-07-29 18:21:30.760000+00:00,[],2026-07-30,30,,2026-07-31 06:21:30.760000+00:00,2026-08-11 05:58:09.018000+00:00,2026-07-31 06:21:30.760000+00:00,2026-08-11 05:58:09.018000+00:00,2026-07-31,2026-08-11,Friday,2026-07-27/2026-08-02,Menstrual
19,usr_sharvibhavsar12,Reply to mentor review feedback email,Reply to mentor review feedback email,,work,high,completed,2026-07-30 02:21:30.760000+00:00,[],2026-07-30,30,,2026-07-31 06:21:30.760000+00:00,2026-07-31 10:21:59.304000+00:00,2026-07-31 06:21:30.760000+00:00,2026-07-31 10:21:59.304000+00:00,2026-07-31,2026-07-31,Friday,2026-07-27/2026-08-02,Menstrual
20,usr_sharvibhavsar12,Finalize menstrual cycle balancing dashboard suggestions,Finalize menstrual cycle balancing dashboard suggestions,,work,high,completed,,[],2026-07-31,30,,2026-07-31 06:21:30.760000+00:00,2026-07-31 06:51:26.954000+00:00,2026-07-31 06:21:30.760000+00:00,2026-07-31 06:51:26.954000+00:00,2026-07-31,2026-07-31,Friday,2026-07-27/2026-08-02,Menstrual
21,usr_sharvibhavsar12,Test local database account deletion collisions,Test local database account deletion collisions,,work,medium,completed,,[],2026-07-31,30,,2026-07-31 06:21:30.760000+00:00,2026-07-31 06:51:28.484000+00:00,2026-07-31 06:21:30.760000+00:00,2026-07-31 06:51:28.484000+00:00,2026-07-31,2026-07-31,Friday,2026-07-27/2026-08-02,Menstrual
22,usr_sharvibhavsar12,Implement Google Calendar sync setting UI card,Implement Google Calendar sync setting UI card,,work,high,completed,,[],2026-08-01,30,,2026-07-31 06:21:30.760000+00:00,2026-07-31 10:21:57.226000+00:00,2026-07-31 06:21:30.760000+00:00,2026-07-31 10:21:57.226000+00:00,2026-07-31,2026-07-31,Friday,2026-07-27/2026-08-02,Menstrual
23,usr_sharvibhavsar12,Schedule weekend review with development team,Schedule weekend review with development team,,personal,low,completed,,[],2026-08-01,30,,2026-07-31 06:21:30.760000+00:00,2026-07-31 06:51:30.710000+00:00,2026-07-31 06:21:30.760000+00:00,2026-07-31 06:51:30.710000+00:00,2026-07-31,2026-07-31,Friday,2026-07-27/2026-08-02,Menstrual
24,usr_sharvibhavsar12,Check analytics plots rendering pipeline status,Check analytics plots rendering pipeline status,,personal,low,pending,,[],2026-08-01,30,,2026-07-31 06:21:30.760000+00:00,2026-08-11 05:58:09.023000+00:00,2026-07-31 06:21:30.760000+00:00,2026-08-11 05:58:09.023000+00:00,2026-07-31,2026-08-11,Friday,2026-07-27/2026-08-02,Menstrual
25,,Test task verification,Test task verification,,Verification,high,completed,,[],2026-08-11,30,,2026-08-11 06:04:48.790855+00:00,2026-08-11 06:04:55.008000+00:00,2026-08-11 06:04:48.790855+00:00,2026-08-11 06:04:55.008000+00:00,2026-08-11,2026-08-11,Tuesday,2026-08-10/2026-08-16,Follicular
